"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 04 17:14:36 GMT 2024","Sat May 04 17:14:36 GMT 2024","19","","Создание персонального курса","","mobile.CreatingACourseMobileTest","creatProgrammingCourseByPassingTheQuestions","Создание курса ПРИ прохождении опроса",""
"broken","Sat May 04 17:14:36 GMT 2024","Sat May 04 17:14:36 GMT 2024","28","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [4] Groups, Community",""
"broken","Sat May 04 17:14:36 GMT 2024","Sat May 04 17:14:36 GMT 2024","15","","Создание персонального курса","","mobile.CreatingACourseMobileTest","creatProgrammingCourseWithoutTakingQuestions","Создание курса БЕЗ прохождения опроса",""
"broken","Sat May 04 17:14:36 GMT 2024","Sat May 04 17:14:36 GMT 2024","24","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [3] Help, Questions",""
"broken","Sat May 04 17:14:35 GMT 2024","Sat May 04 17:14:35 GMT 2024","15","","Блок Комментариев","","mobile.CommentsSectionTest","addCommentUnderAnArticle","Добавление комментария под статьёй",""
"broken","Sat May 04 17:14:34 GMT 2024","Sat May 04 17:14:35 GMT 2024","1113","","Авторизация в приложении","","mobile.AuthorizationInTheApplicationTest","authorizationInTheApplication","Авторизация по логину и паролю",""
"broken","Sat May 04 17:14:35 GMT 2024","Sat May 04 17:14:35 GMT 2024","19","","Блок Комментариев","","mobile.CommentsSectionTest","checkCommentBlocks","Проверка блоков комментариев",""
"broken","Sat May 04 17:14:36 GMT 2024","Sat May 04 17:14:36 GMT 2024","25","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [1] Course, Java course",""
"broken","Sat May 04 17:14:36 GMT 2024","Sat May 04 17:14:36 GMT 2024","24","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [5] Chat, Chat",""
"broken","Sat May 04 17:14:36 GMT 2024","Sat May 04 17:14:36 GMT 2024","29","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [2] Tasks, Tasks",""
"broken","Sat May 04 17:14:36 GMT 2024","Sat May 04 17:14:36 GMT 2024","12","","Лайки","","mobile.LikesUnderTheArticleTest","addLikeUnderTheArticle","Добавление лайка",""
"broken","Sat May 04 17:14:36 GMT 2024","Sat May 04 17:14:36 GMT 2024","30","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [6] Surveys & Quizzes, Surveys & Quizzes",""
